Symbol,Name,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,1930082,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,9673595,Industrials,Aluminum
AACG,ATA Creativity Global American Depositary Shares,China,2008,99137,Real Estate,Other Consumer Services
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,2023,47110,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,United States,,184590,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,United States,2021,214335,Consumer Staples,Farming/Seeds/Milling
AAGRW,African Agriculture Holdings Inc. Warrant,United States,2021,12600,Consumer Staples,Farming/Seeds/Milling
AAL,American Airlines Group Inc. Common Stock,United States,,29426188,Consumer Discretionary,Air Freight/Delivery Services
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,,2024,15351,,
AAME,Atlantic American Corporation Common Stock,United States,,2811,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,1281784,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,5533777,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,612746,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,1987540,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,United States,1980,43492522,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,180959,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,157920,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,United States,,1526339,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,United States,2012,4286481,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,318140,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,1679759,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,180890,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,2013,28081181,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,420011,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,298579,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,1209,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,United States,2020,22568,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,China,,2536,Consumer Discretionary,Other Consumer Services
ABLVW,Able View Global Inc. Warrant,China,,217748,Consumer Discretionary,Other Consumer Services
ABM,ABM Industries Incorporated Common Stock,United States,,1046090,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,4188445,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,87650,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABR,Arbor Realty Trust Common Stock,United States,2004,2893441,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,15387,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,6170,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,60432,,
ABSI,Absci Corporation Common Stock,United States,2021,599515,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,United States,,5029801,Health Care,Biotechnology: Pharmaceutical Preparations
ABTS,Abits Group Inc Ordinary Shares,China,,2657,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,781779,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,United States,,46582,Health Care,Biotechnology: Pharmaceutical Preparations
